Report generated on: 03-10-2020 00:03:12
"API","","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-BRA-TBPD.A","        Brazil","","","","","","","","","245","283","348","460","614","734","740","768","751","790","821","838","824","839","957.42465753425","990.42465753425","1107.0027322404","1172.197260274","1282.6273972603","1427.7726027397","1534.1068965433","1573.4855144624","1757.8922450544","1846.8988412125","1839.483427791","2037.5220136986","2169.4636054795","2283.5048082192","2431.4689098361","2561.7134465753","2723.7420082192","2699.1337561644","2669.1223196721","2713.4722986301","2970.6780328767","3186.4863643836","3242.9578360656","3366.452109589","3427.7836164384",""
"INTL.53-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BRN-TBPD.A","        Brunei","","","","","","","","","270","188","179","187","175","168","181","150","148","142","160","171","178","178","180.63561643836","175.84383561644","166.69617486339","175.34109589041","179.58767123288","204.22328767123","215.36775561187","217.58366067379","189.40659608153","196.36775230463","204.4311477277","209.95945205479","221.24478082192","169.96663013699","157.76433879781","148.85721917808","153.32793150685","169.37704109589","158.73103825137","135.48984931507","126.8074109589","127.00387671233","121.03438797814","113.31346575342","111.62305479452",""
"INTL.53-1-BGR-TBPD.A","        Bulgaria","","","","","","","","","3","3","3","3","4","6","-0.2","0.09789268493151","-1.5","4.7","3.5","0.03394316988493","0.4","0.6","0.3","1","1.6","0.9","2.2","2.6","1.962067956071","1.1624270501315","2.6481324306247","3.1280627748384","3.6612623720601","3.357","3.378","3.125","3.517","3.341","3.359","3.367","3.799","4.095","3.2371917808219","5.076","5.339","5.339","5.339",""
"INTL.53-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BDI-TBPD.A","        Burundi","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-KHM-TBPD.A","        Cambodia","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CMR-TBPD.A","        Cameroon","","","","","","","","","58","87","109","114","135","185","177","174","163","170","161","153","140","127","108.34520547945","111.4","108.41639344262","124.5","121.5","100.5","85.059654516798","76.891325340203","69.900756146581","67.218153495858","66.347011758596","82.709068493151","86.807739726027","83.156397260274","81.780136612022","77.420109589041","65.54","62.227273972603","63.452","63.070164383562","75.441","98.469","92.469","76.186808219178","69.469",""
"INTL.53-1-CAN-TBPD.A","        Canada","","","","","","","","","1816","1663","1639","1692","1810","1848","1863","1960","2057","2031","2040","2041","2126","2250","2341.2904109589","2452.7945205479","2501.5765027322","2627.4712328767","2700.0493150685","2632.5575342466","2753.1445546448","2816.3618479452","2953.6996808219","3113.645210274","3139.3577882514","3096.2846136986","3292.0780767123","3448.5232328767","3348.2466967213","3318.8291178082","3441.7302739726","3596.9136712329","3855.9235355191","4073.0712876712","4394.265369863","4511.2705616438","4596.7248196721","4964.1335205479","5382.336260274",""
"INTL.53-1-CPV-TBPD.A","        Cape Verde","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CAF-TBPD.A","        Central African Republic","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TCD-TBPD.A","        Chad","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.068493150685","170.58743169399","176.65753424658","157.91780821918","144.20273972603","127.16393442623","119.47123287671","122.52054794521","114.96438356164","104.48360655738","100","121","123","114","128","132",""
